MSSV,All,Số lượng
22521060,All,3989.7
22521027,All,3989.7
22520195,All,3989.7
22520395,All,1683.5
22520394,All,1683.5
22520779,All,1364.5
22521587,All,1364.5
22520459,All,1259.0
22520507,All,1259.0
22520862,All,1259.0
22520211,All,1230.0
22521070,All,1230.0
22521342,All,999.5
22520970,All,999.5
21522924,All,894.0
22521559,All,736.0
22521586,All,736.0
22521692,All,620.0
22521676,All,620.0
22520634,All,523.0
21520938,All,523.0
21522500,All,507.5
21522771,All,507.5
22521492,All,378.0
22521599,All,378.0
22520915,All,356.0
22520914,All,355.0
21520930,All,298.0
22520477,All,290.5
22520490,All,290.5
22521614,All,249.5
22521560,All,249.5
21522499,All,241.0
21522373,All,241.0
20520918,All,200.0
22520884,All,145.0
22520521,All,145.0
22520348,All,143.0
22520837,All,143.0
22520530,All,143.0
22521259,All,114.7
22521213,All,114.7
22521463,All,114.7
22520967,All,102.0
22520550,All,102.0
22520581,All,100.0
22521465,All,80.0
22520811,All,80.0
22520683,All,80.0
22520213,All,79.5
22520223,All,79.5
22520318,All,58.0
22521425,All,58.0
2252014,All,1.0
